Job title,Company,Deadline,Location
Python Developer,SoftConstruct,01 May 2024,Yerevan
-SMS Network Operations Center Engineer-,Dial Tel LLC,01 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Սեբաստիա» մասնաճյուղում՝ 18։00-01։00 աշխատաժամանակով,FastBank CJSC,14 April 2024,Yerevan
Accountant,Decora Group,01 May 2024,Yerevan
B2B Sales Manager,#XAXALOVE,01 May 2024,Yerevan
Interviewer,CIVITTA AM,15 April 2024,Yerevan
42 Yerevan - Technical and Pedagogical Coordinator,TUMO Center for Creative Technologies,01 May 2024,Yerevan
Ֆինանսական բաժնի  հաշվետար- օպերատոր,Bella Casa,01 May 2024,Yerevan
Վաճառքի Մենեջեր,ENERGYWISE,01 May 2024,Yerevan
Lead Software Engineer,Swaps.app,01 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Մարտունի» մասնաճյուղում,FastBank CJSC,14 April 2024,Abovyan
Inbound Communication Team Specialist (Contact Center),Ameriabank CJSC,01 May 2024,Yerevan
"Outbound team (Sales team) specialist, Contact Center",Ameriabank CJSC,01 May 2024,Yerevan
"Client Manager, Yerevan branch network",Ameriabank CJSC,01 May 2024,Yerevan
"Teller, Yerevan branch network",Ameriabank CJSC,01 May 2024,Yerevan
Head of Marketing department,ARMENIA WINE FACTORY LLC,01 May 2024,Yerevan
"Սրահի ադմինիստրատոր, ք. Արարատ",VTB Bank (Armenia),01 May 2024,Ararat
Regional Basic Support Agent,Viva-MTS (MTS Armenia CJSC),10 April 2024,Vanadzor
Basic Support Agent (On Shift),Viva-MTS (MTS Armenia CJSC),09 April 2024,Yerevan
Խաղավար,CreedRoomz,01 May 2024,Yerevan
Խաղավարի օգնական,CreedRoomz,01 May 2024,Yerevan
Game Presenter,CreedRoomz,01 May 2024,Yerevan
Senior Recruiter,CreedRoomz,01 May 2024,Yerevan
Ոսկերիչ գնահատողի օգնական՝ «Աբովյան» մասնաճյուղում,FastBank CJSC,14 April 2024,Abovyan
Խնդրահարույց ակտիվների վերկանգման մասնագետ,FastBank CJSC,14 April 2024,Yerevan
Dealer,Vision Zoom Casino,01 May 2024,Yerevan
Office manager,MLN Pharm,01 May 2024,Yerevan
Corporate sales manager,EFES,01 May 2024,Yerevan
Cashier,Move2Armenia Career,01 May 2024,Yerevan
Ղեկավար - հաշվապահ,Հայաստանի Հաշվապահների Ասոցիացիա,01 May 2024,Yerevan
Customer Service  Specialist,Adjarabet.am,30 April 2024,Yerevan
Դատաիրավական բաժնի ղեկավար,Evocabank,14 April 2024,Yerevan
Teller,Evocabank,30 April 2024,Yerevan
Credit Monitoring Specialist,Evocabank,14 April 2024,Yerevan
Teller (evening shift),Evocabank,14 April 2024,Yerevan
Technical Monitoring Specialist,Evocabank,14 April 2024,Yerevan
Product Owner,Evocabank,14 April 2024,Yerevan
Շինարարության պատասխանատուի օգնական,FastBank CJSC,10 April 2024,Yerevan
Investment Operation Specialist,Evocabank,14 April 2024,Yerevan
Shipper,PANDA GROUP,01 May 2024,Yerevan
Customer Attraction Chief Specialist,Evocabank,14 April 2024,Yerevan
UI/UX Junior Designer,DBD Digital Business Development LLC,25 April 2024,Yerevan
Junior Kotlin Developer,DBD Digital Business Development LLC,25 April 2024,Yerevan
"Ոսկերիչ /Երևանի Եղեգնաձորի, Տաշիրի Աշտարակի մասնաճյուղեր/",ՅՈՒՆԻԲԱՆԿ ԲԲԸ,01 May 2024,Yerevan
Customer Support Agent -Turkish and English Languages,SoftConstruct,30 April 2024,Yerevan
"Սպառողական վարկավորման գծով գործակալ /Երևան, Արարատ, Չարենցավան, Սիսիան/",ՅՈՒՆԻԲԱՆԿ ԲԲԸ,01 May 2024,Yerevan
"Գանձապահ-մենեջեր սկսնակ /ք. Երևան, Գոգավան/",ՅՈՒՆԻԲԱՆԿ ԲԲԸ,01 May 2024,Yerevan
"Customer Support Agent -Armenian,Russian and English Languages",SoftConstruct,30 April 2024,Yerevan
Կառավարիչ՝ Վեդի մասնաճյուղ,FastBank CJSC,10 April 2024,Yerevan
"Quality, Training and Communications specialist",Digitain,01 May 2024,Yerevan
Account Manager,EveryMatrix,01 May 2024,Yerevan
Հաշվապահ,BD RETAIL GROUP,01 May 2024,Yerevan
Ներքին դիտարկումների բաժնի աշխատակից,ARMECONOMBANK OJSC,01 May 2024,Yerevan
Product Operations Specialist,Ameriabank CJSC,30 April 2024,Yerevan
Service Desk Specialist,Digitain,01 May 2024,Yerevan
Head of Marketing Department,Dargett,30 April 2024,Yerevan
Marketing Specialist,Dargett,01 May 2024,Yerevan
Database Developer,Ameriabank CJSC,30 April 2024,Yerevan
Mobile Sales and Service Specialist in Shirak region,Viva-MTS (MTS Armenia CJSC),15 April 2024,Bagratashen
Business Process Specialist,Digitain,01 May 2024,Yerevan
Կրեդիտային վերահսկման մասնագետ,Պրեմիեր Ֆուդս ՍՊԸ,01 May 2024,Yerevan
Customer Advisor,Globbing,01 May 2024,Yerevan
Marketing and online sales department specialist,BD RETAIL GROUP,01 May 2024,Yerevan
Կորպորատիվ հաճախորդների հեռահար սպասարկման բաժնի առաջատար մասնագետ,IDBank CJSC,12 April 2024,Yerevan
Small and Medium Business Chief Manager,IDBank CJSC,19 April 2024,Yerevan
Social Media Specialist,ARMENIANS UNIFIED,30 April 2024,Yerevan                                            (Remote)
Administrative Assistant,ARMENIANS UNIFIED,30 April 2024,Yerevan                                            (Remote)
Հաշվետար,Հայաստանի Հաշվապահների Ասոցիացիա,29 April 2024,Yerevan
Senior PHP/Laravel Developer,Ithire,29 April 2024,Yerevan
Trade Marketing Manager,"""Mehrabyan  and Sons"" LLC",29 April 2024,Yerevan
B2B(KAM),"""Mehrabyan  and Sons"" LLC",29 April 2024,Yerevan
Mob App Team Coordinator,"""Mehrabyan  and Sons"" LLC",29 April 2024,Yerevan
Marketing Specialist,ARMENIANS UNIFIED,29 April 2024,Yerevan                                            (Remote)
Հաշվետար-օպերատոր,Բլյումարտ ՍՊԸ,29 April 2024,Yerevan
Development Manager,PANDA GROUP,29 April 2024,Kapan
ENGINEER,Ar & Ar Design Construction,29 April 2024,Yerevan
"Իրավաբան, գնումների համակարգող",Concern-Energomash  CJSC,28 April 2024,Yerevan
HR Manager - Remote,AffPapa,28 April 2024,Yerevan                                            (Remote)
Administrator,THE FACE ONLY,28 April 2024,Yerevan
Հաշվապահ,SoftConstruct,14 April 2024,Yerevan
SEO Specialist,ProDigi Digital Agency,28 April 2024,Yerevan
Import Manager,SAS Group,28 April 2024,Yerevan
Առևտրային գործակալ  /Preseller,Derjava,28 April 2024,Sevan
Sales consultant,Henderson Armenia,28 April 2024,Yerevan
Գանձապահ՝ «Էրեբունի» մասնաճյուղում 11:00-20:00 աշխատաժամանակով,FastBank CJSC,28 April 2024,Yerevan
Վաճառքի մենեջեր՝ շինարարական կազմակերպությունների գծով,Bella Casa,28 April 2024,Yerevan
Գանձապահ ՝ «Բաղրամյան»  մասնաճյուղում  13։00-22։00 աշխատաժամանակով,FastBank CJSC,28 April 2024,Yerevan
Financial Analyst,Sartex CJSC,15 April 2024,Yerevan
Monitoring and Reporting Associate - NPSA 7,UNDP Armenia Office,11 April 2024,Yerevan
Manager of Household goods Department,MG Group,28 April 2024,Yerevan
B2B հաճախորդների համակարգող,"""Telecom Armenia"" OJSC",28 April 2024,Yerevan
Restaurant Manager,MBG Group LLC,28 April 2024,Yerevan
Արտաքին տնտեսական  կապերի գծով մասնագետ,Պռոշյանի Կոնյակի գործարան ՍՊԸ,21 April 2024,Yerevan
Գիշերային հերթափոխով գանձապահ՝ «Հարավ-Արևմտյան» մասնաճյուղում,FastBank CJSC,28 April 2024,Yerevan
Outdoor Filming junior technician,«Հայաստանի հանրային հեռուստաընկերություն» ՓԲԸ,28 April 2024,Yerevan
Բժշկական վաճառքի մենեջեր,Պրոմ-Տեստ ՍՊԸ,28 April 2024,Yerevan
Ընդունարանի աշխատակից,Պրոմ-Տեստ ՍՊԸ,28 April 2024,Yerevan
Հաշվետար (հաշվապահի օգնական),Պրոմ-Տեստ ՍՊԸ,28 April 2024,Yerevan
Flutter Internship Opportunity,DBD Digital Business Development LLC,20 April 2024,Yerevan
Senior SEO Specialist,SQUARE SIGNS ARMENIA,28 April 2024,Yerevan
Էլեկտրիկ,Պրոմ-Տեստ ՍՊԸ,28 April 2024,Yerevan
Graphic Designer,ProDigi Digital Agency,28 April 2024,Yerevan
Senior SMM Specialist,ProDigi Digital Agency,28 April 2024,Yerevan
Data Science Paid Internship,KK Partners,28 April 2024,Yerevan
Կորպորատիվ հաճախորդների ներգրավման համակարգող,Ucom,28 April 2024,Yerevan
Վաճառքի բաժնի առաքիչ,Ֆրոզեն Միթ ՍՊԸ,28 April 2024,Yerevan
Presseller,gmcompany,26 April 2024,Yerevan
Վաճառքի և սպասարկման կենտրոնի մասնագետ Երևան  քաղաքում,"""Telecom Armenia"" OJSC",28 April 2024,Yerevan
Junior Accountant,Retrieve Legal,28 April 2024,Yerevan
SMM specialist,Alfa-Pharm CJSC,28 April 2024,Yerevan
Social Media Marketing Specialist,Andava Digital Marketing Agency,28 April 2024,Yerevan
Financial Crime Compliance/AML Officer,Digitain,28 April 2024,Yerevan
Product Development Manager,Acba Bank OJSC,28 April 2024,Yerevan
Շենքերի շինարարության Աշխղեկ,AAB Construction,28 April 2024,Yerevan
Online Sales Manager,Mobile Centre,28 April 2024,Yerevan
IoT-M2M and Wireless Products Specialist,Viva-MTS (MTS Armenia CJSC),10 April 2024,Yerevan
Junior Programmer Analyst,Siemens Industry Software CJSC,28 April 2024,Yerevan
Customer Support Marketing Coordinator,Siemens Industry Software CJSC,28 April 2024,Yerevan
Accountant,Equity LLC,27 April 2024,Armavir
Fraud Analyst,Digitain,28 April 2024,Yerevan
Senior Cost Control Analyst,Digitain,28 April 2024,Yerevan
Project Quality Control Inspector for construction site,Renco Armestate LLC,28 April 2024,Yerevan
Casino Risk Management Specialist,Digitain,28 April 2024,Yerevan
Որակի կառավարման թիմի ղեկավար,IDBank CJSC,19 April 2024,Yerevan
Import Manager,S.A.V. GROUP LLC,28 April 2024,Yerevan
Junior Business Data Analyst,SoftConstruct,18 April 2024,Yerevan
Digital Marketing Specialist - SpringBuilder Project,Ucraft,28 April 2024,Yerevan
Ոսկերիչ գնահատող Եղեգնաձորի մասնաճյուղում,AREGAK UCO CJSC,14 April 2024,Yeghegnadzor
Ոսկերիչ գնահատող Վեդիի մասնաճյուղում,AREGAK UCO CJSC,28 April 2024,Vedi
Pre-Sales Consultant (English Speaking),Digitain,27 April 2024,Yerevan
Տեղադրման և սպասարկման բաժնի ղեկավար,Ador Factory,27 April 2024,Yerevan
Մեթոդաբան,"""INGO ARMENIA"" Insurance CJSC",27 April 2024,Yerevan
Public Sector Innovation Projects Analyst (Task Lead) - NPSA 8,UNDP Armenia Office,11 April 2024,Yerevan
Кассир,SPORTMASTER,27 April 2024,Yerevan
Innovative and Participatory Policymaking Project Analyst (Coordinator) - NPSA 9,UNDP Armenia Office,10 April 2024,Yerevan
Եղվարդի ներկայացուցչության փոխարինող օգնական,AREGAK UCO CJSC,13 April 2024,Yeghvard
Վաճառքի խումբ - Սպասարկող մասնագետ,"""Ardshinbank"" CJSC",11 April 2024,Yerevan
Վարորդ   Առաքիչ,Գինու գործարան,27 April 2024,Yerevan
Զանգերի Կենտրոն Սպասարկող մասնագետ,"""Ardshinbank"" CJSC",11 April 2024,Yerevan
ՄՌ կադրային գործավարության մասնագետ,TUMO Center for Creative Technologies,26 April 2024,Yerevan
Health and Safety Engineer (Building Construction),AAB Construction,27 April 2024,Yerevan
Financial controller,Sartex CJSC,15 April 2024,Yerevan
Մարքեթինգի մասնագետ,ONE WAY TOUR,25 April 2024,Yerevan
Բրոքերային ծառայության բեք – օֆիսի մասնագետ,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,27 April 2024,Yerevan
Data Analyst (Specialized in Excel and Power BI),AAB Construction,27 April 2024,Yerevan
Գանձապահ,Ջենեսիս ՍՊԸ,27 April 2024,Yerevan
B2B customer service specialist / 00:30-09:00 /,Իդրամ ՍՊԸ,27 April 2024,Yerevan
"Call center and customer support specialist /11:00-20:00, 17:00-01:00, 00:00-09:00/",Իդրամ ՍՊԸ,27 April 2024,Yerevan
SMM Specialist/ VBET,SoftConstruct,27 April 2024,Yerevan
Quality Assurance Engineer,Questrade International Inc.,26 April 2024,Yerevan
Machine Learning Engineer (Mid-Level),Acba Bank OJSC,27 April 2024,Yerevan
Լիզինգային գործառնությունների բաժնի ավագ մասնագետ,AraratBank OJSC,12 April 2024,Yerevan
Junior Risk Manager (Mixed shifts) / VBET,SoftConstruct,27 April 2024,Yerevan
Senior Affiliate Manager,TokenWin,27 April 2024,Yerevan
Հացուխ,Pano LLC,27 April 2024,Yerevan
Sales Manager,Eighty Eight Hotel and Spa,27 April 2024,Tsaghkadzor
Հաշվետար,Curato LLC,26 April 2024,Yerevan
Receptionist,Felinger Hotel Collection Yerevan,27 April 2024,Yerevan
Housekeeping Supervisor,Felinger Hotel Collection Yerevan,27 April 2024,Yerevan
Sales manager,Felinger Hotel Collection Yerevan,27 April 2024,Yerevan
Learning Coach in Spitak (part time),TUMO Center for Creative Technologies,15 April 2024,Yerevan
Կատեգորիայի կրտսեր մենեջեր,Alfa-Pharm CJSC,27 April 2024,Yerevan
Graphic Designer - Dream Project,Ucraft,27 April 2024,Yerevan
Chief Accountant,Hytex Plastic,27 April 2024,Yerevan
Head of Treasury,Converse Bank,27 April 2024,Yerevan
«Գործառնական օր» համակարգի ադմինիստրատոր,IDBank CJSC,12 April 2024,Yerevan
CRM Operations Officer,Adjarabet.am,27 April 2024,Yerevan
Merchandiser,VENDA LLC,27 April 2024,Yerevan
Գլխավոր Հաշվապահի օգնական - Հաշվապահ,VENDA LLC,27 April 2024,Yerevan
Project Manager,AAB Construction,27 April 2024,Yerevan
Legal Case Manager (Civil Litigation),Lumina Law LLC,27 April 2024,Yerevan
Senior Network Engineer,Viva-MTS (MTS Armenia CJSC),10 April 2024,Yerevan
Senior Datacenter Network Engineer,Viva-MTS (MTS Armenia CJSC),10 April 2024,Yerevan
B2B Purchasing Manager,"""ASBC"" LLC",27 April 2024,Yerevan
Retail Sales Consultant,"""ASBC"" LLC",27 April 2024,Yerevan
B2B Key Account Manager,"""ASBC"" LLC",27 April 2024,Yerevan
B2B Sales Manager,"""ASBC"" LLC",27 April 2024,Yerevan
Marketing Manager,"""ASBC"" LLC",27 April 2024,Yerevan
Marketing Manager,SoftConstruct,26 April 2024,Yerevan
Հաշվապահական թիմի ղեկավար,Նյու Ֆորմ ՍՊԸ,27 April 2024,Yerevan
Social Media Manager,Fastex,26 April 2024,Yerevan
Digital Marketing Specialist,Fastex,26 April 2024,Yerevan
"Գլխավոր մասնագետ , Ցանցում իրացման վարչություն",VTB Bank (Armenia),27 April 2024,Yerevan
Finance Analyst – Commercial Services,Coca-Cola Hellenic Bottling Company Armenia,21 April 2024,Yerevan
Հաշվառման և աշխատավարձերի հաշվարկման մասնագետ,Digitain,27 April 2024,Yerevan
Workplace Interviewer and Investigator,Karni Workplace Center LLC,27 April 2024,Yerevan
Merchant Services Operations,"Platform Factory, Inc.",27 April 2024,Los Angeles                                            (Remote)
"Developer - JS, Node.js Developer (middle+)",ITMediaUSA LLC,24 April 2024,Yerevan
Branch Representative,HSBC Bank Armenia CJSC,10 April 2024,Yerevan
Financial advisor,Inecobank CJSC,26 April 2024,Yerevan
Հեռավար քոուչ,Philip Morris Armenia LLC,26 April 2024,Yerevan
Սոֆթ հավաքագրումների մասնագետ/առաջատար մասնագետ (զանգերի կենտրոն),FINCA UCO CJSC,11 April 2024,Yerevan
Accountant,Shtigen Group,26 April 2024,Yerevan
Accountant,Legelata Law Firm,26 April 2024,Yerevan
Recruitment & Contract Coordinator,American University of Armenia Fund,07 April 2024,Yerevan
Consultant salesman,Barry LLC,26 April 2024,Yerevan
Marketing Manager,FAB Group LLC,24 April 2024,Yerevan
Ներքին վերահսկողության մասնագետ,Bella Casa,26 April 2024,Yerevan
Sales manager of Construction Materials with their own car.,MTK LLC,26 April 2024,Yerevan
Community Manager,TokenWin,26 April 2024,Yerevan
Վարկերի մոնիթորինգի բաժնի առաջատար/գլխավոր մասնագետ,IDBank CJSC,12 April 2024,Yerevan
Վարկերի մոնիթորինգի բաժնի մասնագետ,IDBank CJSC,12 April 2024,Yerevan
Head of Marketing,TokenWin,26 April 2024,Yerevan
Օպերատոր-գանձապահ,Shtigen Group,26 April 2024,Yerevan
Իրավաբանական բաժնի իրավախորհրդատու,ARMSWISSBANK CJSC,26 April 2024,Yerevan
Վաճառքի HoReCa մենեջեր,Անդակո ՍՊԸ,26 April 2024,Yerevan
Խորհրդատու-վաճառողուհի,SIL Capital,26 April 2024,Yerevan
Scoring Systems Analyst,Inecobank CJSC,19 April 2024,Yerevan
Brand manager,AMIO BANK,26 April 2024,Yerevan
Ավագ հաշվապահ,Բիզնես ընդ մենեջմենթ սիսթեմս  ՍՊԸ,25 April 2024,Yerevan
Customer Support Agent (French) / VBET - mixed shift,SoftConstruct,26 April 2024,Yerevan
Full Stack Vue.js/PHP developer,Smart Corner,26 April 2024,Yerevan                                            (Remote)
Senior Specialist of Risk Analysis and Management Division,Inecobank CJSC,19 April 2024,Yerevan
Customer Support Agent - Hindi  and English /mixed shift/ - VBET,SoftConstruct,26 April 2024,Yerevan
Խորհրդատու-Վաճառքի Մասնագետ,Philip Morris Armenia LLC,26 April 2024,Yerevan
Բոնուսային համակարգերի հաշվարկման մասնագետ,FastBank CJSC,14 April 2024,Yerevan
Technical maintenance specialist,Freedom Broker Armenia,26 April 2024,Yerevan
Copywriter,Scorpio Creative,26 April 2024,Yerevan
Business Support Assistant (Communications) - Roster,UNITED NATIONS WORLD FOOD PROGRAMME - ARMENIA,10 April 2024,Yerevan
Sales Consultant,Մեգաթոյ ՍՊԸ,26 April 2024,Yerevan
Senior lawyer,Freedom Broker Armenia,26 April 2024,Yerevan
Միջոցառումների համակարգող,Atenk Ltd,26 April 2024,Yerevan
Mid+ Angular Developer,Apricot Space,26 April 2024,Yerevan
Planning and Monitoring Assistant,UNICEF Armenia,09 April 2024,Yerevan
Սկսնակ Հաշվապահ,Autofan AC LLC,26 April 2024,Yerevan
Back Office,CARD  AgroCredit UCO CJSC,24 April 2024,Gyumri
Mid-Senior Level React Developer,VECTO,26 April 2024,Yerevan
Online Sales Manager,Food Depot LLC,26 April 2024,Yerevan
"Պրոդուկտների մշակման դեպարտամենտի մասնագետ  /մանրածախ, կորպորատիվ, քարտային, ոչ բանկային պրոդուկտների գծով/",ՅՈՒՆԻԲԱՆԿ ԲԲԸ,26 April 2024,Yerevan
Բանկային քարտերի թողարկման բաժնի Մասնագետ,VTB Bank (Armenia),16 April 2024,Yerevan
"Հաճախորդների սպասարկման մասնագետ, ք․ Երևան",AraratBank OJSC,26 April 2024,Yerevan
Քիմիկ -անալիտիկ,Alfa-Pharm CJSC,26 April 2024,Gyumri
"Խորհրդատու  , «Կենտրոն» մ/ճ, 12 ժամյա գրաֆիկ",IDBank CJSC,15 April 2024,Yerevan
Բրենդ մենեջեր,"""Mehrabyan  and Sons"" LLC",26 April 2024,Yerevan
Product Manager,Viva-MTS (MTS Armenia CJSC),10 April 2024,Yerevan
Սպորտային Լրագրող,FastMedia,26 April 2024,Yerevan
Վաճառքի և սպասարկման կենտրոնի մասնագետ  Մարտունի  քաղաքում,"""Telecom Armenia"" OJSC",26 April 2024,Martuni
Կորպորատիվ հաճախորդների սպասարկման մասնագետ,IDBank CJSC,15 April 2024,Yerevan
Commercial director,Lernagnatc LLC,25 April 2024,Abovyan
CEO's assistent,Lernagnatc LLC,25 April 2024,Abovyan
Շուկայի զարգացման պատասխանատու,Ադամիում,26 April 2024,Yerevan
Մասնաճյուղային ցանցի հսկողության բաժնի մասնագետ,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,26 April 2024,Yerevan
Medical Representative,Alfa-Pharm CJSC,26 April 2024,Yerevan
Տեղեկատվական կենտրոնի մասնագետ/հերթափոխային,Ucom,26 April 2024,Yerevan
Senior Accountant,Eighty Eight Hotel and Spa,26 April 2024,Yerevan
HR Coordinator for ISAA,818 Consulting,26 April 2024,Yerevan
Մարքեթինգի մասնագետ,Alfa-Pharm CJSC,26 April 2024,Yerevan
Store Shift Manager,"""ASBC"" LLC",26 April 2024,Yerevan
Service Clerk,AMIO BANK,26 April 2024,Yerevan
Վաճառքի և սպասարկման կենտրոնի մասնագետ Մեղրի քաղաքում,"""Telecom Armenia"" OJSC",26 April 2024,Meghri
SEO Specialist,SoftConstruct,26 April 2024,Yerevan
Store Manager,"""ASBC"" LLC",26 April 2024,Yerevan
AI Manager Internship,iNexxus,25 April 2024,Yerevan
Վաճառող-խորհրդատու,Reyma,25 April 2024,Yerevan
Digital Transformation Manager,Երեմյան Փրոջեքթս,25 April 2024,Yerevan
Sales manager (spanish),Digital Caramel,25 April 2024,Yerevan
"QA Automation Engineer, Augmented Reality (all genders)",TeamViewer Armenia,25 April 2024,Yerevan
Mobile QA Automation Engineer (all genders),TeamViewer Armenia,25 April 2024,Yerevan
Data Engineer,Ucraft,25 April 2024,Yerevan
HR Generalist,Wip Work in Progress,25 April 2024,Yerevan
Web3 Monitoring specialist,Fastex,25 April 2024,Yerevan
"Software Engineer, Skills Evaluation Development Team",CodeSignal,25 April 2024,Yerevan
Loan officer,Evocabank,14 April 2024,Yerevan
Reservation Specialist,DoubleTree by Hilton Yerevan City Centre,25 April 2024,Yerevan
Ավագ հաշվապահ,Fast Shift LLC,25 April 2024,Yerevan
Trainer,"""Max Station"" LLC",25 April 2024,Yerevan
Օժանդակող մասնագետ,Easy Pay,25 April 2024,Yerevan
PHP Developer,ITF LLC,25 April 2024,Yerevan
"Tech Lead .NET, CRM Software",DataArt Armenia,25 April 2024,Yerevan
"QAA (Java, Cypress)",DataArt Armenia,25 April 2024,Yerevan
Բիզնես գործընթացների օպտիմալացման մասնագետ,Easy Pay,25 April 2024,Yerevan
Շուկայագետ,Bacon Product LLC,25 April 2024,Arzni
Retail Operations Manager,"""ASBC"" LLC",25 April 2024,Yerevan
Գլխավոր Տեխնոլոգ,«ԷՍԷՌ ՖՈՒԴ» ՍՊԸ,21 April 2024,Yerevan
Գանձապահ Upay ընկերությունում / ք. Երևան /,Ucom,25 April 2024,Yerevan
Chief Agronomist,SMART AGRO SOLUTIONS CJSC,24 April 2024,Ashtarak
Sales Manager,Jellyfish Yerevan,25 April 2024,Yerevan
Հաշվետար օպերատոր,Narim LTD,25 April 2024,Yerevan
Procurement Specialist,Digitain,25 April 2024,Yerevan
Փափայա ընկերությանն անհրաժեշտ է HoReCa մենեջեր,Papaya,25 April 2024,Yerevan
Senior Marketing Specialist,PROFAL LLC,25 April 2024,Yerevan
SMM և Մարքեթինգի մասնագետ,Calibri Real Estate Agency,25 April 2024,Yerevan
Senior Java Engineer/Team Lead,Polixis,25 April 2024,Yerevan
Deal Manager,Silicon Capital,07 April 2024,Yerevan
Seller-Consultant / Noyemberyan,Mobile Centre,25 April 2024,Noyemberyan
Seller-Consultant / Gyumri,Mobile Centre,25 April 2024,Gyumri
Sales and Relationship Manager,Ameriabank CJSC,25 April 2024,Yerevan
Շուկայի զարգացման պատասխանատու,Atenk Ltd,25 April 2024,Yerevan
IT Support Specialist,SAS Group,25 April 2024,Yerevan
Restaurant Supervisor,“Impulse Business Management” LLC,25 April 2024,Ijevan
Front Desk Supervisor,“Impulse Business Management” LLC,25 April 2024,Ijevan
Senior Site Reliability Engineer,OMD Armenia LLC,25 April 2024,Yerevan
F&B Manager,“Impulse Business Management” LLC,25 April 2024,Ijevan
Chief Finance Officer,Galaxy Group of Companies,25 April 2024,Yerevan
Իրավաբան՝ Կազմակերպության շահերի պաշտպանության ծառայություն,FastBank CJSC,25 April 2024,Yerevan
CRM Specialist,TokenWin,25 April 2024,Yerevan
Ադմինիստրատիվ աշխատանքների համակարգող,"""ԴԻՖՈՐԲԻ"" ՍՊԸ",15 April 2024,Yerevan
Առևտրային վարկավորման վարչության Կորպորատիվ վարկերի տրամադրման բաժնի առաջատար մասնագետ,ARMECONOMBANK OJSC,25 April 2024,Yerevan
Marketing Team Lead,Business Development Group (BDG),25 April 2024,Yerevan
ՓՄՁ բիզնեսի թիմի վերլուծաբան/Արմավիր,"""Ardshinbank"" CJSC",10 April 2024,Armavir
ՓՄՁ բիզնեսի թիմի վերլուծաբան/Երևան,"""Ardshinbank"" CJSC",10 April 2024,Yerevan
Retail Team Lead,"""ASBC"" LLC",25 April 2024,Yerevan
